DATE,STLFSI
1993-12-31,0.123
1994-01-07,0.169
1994-01-14,0.111
1994-01-21,0.129
1994-01-28,0.104
1994-02-04,0.087
1994-02-11,0.196
1994-02-18,0.198
1994-02-25,0.292
1994-03-04,0.371
1994-03-11,0.405
1994-03-18,0.398
1994-03-25,0.437
1994-04-01,0.550
1994-04-08,0.685
1994-04-15,0.621
1994-04-22,0.653
1994-04-29,0.572
1994-05-06,0.648
1994-05-13,0.826
1994-05-20,0.656
1994-05-27,0.676
1994-06-03,0.712
1994-06-10,0.632
1994-06-17,0.644
1994-06-24,0.712
1994-07-01,0.841
1994-07-08,0.836
1994-07-15,0.753
1994-07-22,0.653
1994-07-29,0.631
1994-08-05,0.609
1994-08-12,0.682
1994-08-19,0.590
1994-08-26,0.596
1994-09-02,0.585
1994-09-09,0.636
1994-09-16,0.670
1994-09-23,0.676
1994-09-30,0.799
1994-10-07,0.830
1994-10-14,0.843
1994-10-21,0.817
1994-10-28,0.849
1994-11-04,0.825
1994-11-11,0.844
1994-11-18,0.826
1994-11-25,0.876
1994-12-02,0.853
1994-12-09,0.847
1994-12-16,0.875
1994-12-23,0.893
1994-12-30,0.910
1995-01-06,0.956
1995-01-13,0.852
1995-01-20,0.796
1995-01-27,0.799
1995-02-03,0.731
1995-02-10,0.708
1995-02-17,0.717
1995-02-24,0.699
1995-03-03,0.706
1995-03-10,0.815
1995-03-17,0.710
1995-03-24,0.690
1995-03-31,0.710
1995-04-07,0.718
1995-04-14,0.709
1995-04-21,0.701
1995-04-28,0.646
1995-05-05,0.621
1995-05-12,0.604
1995-05-19,0.583
1995-05-26,0.507
1995-06-02,0.543
1995-06-09,0.568
1995-06-16,0.641
1995-06-23,0.617
1995-06-30,0.665
1995-07-07,0.641
1995-07-14,0.536
1995-07-21,0.569
1995-07-28,0.661
1995-08-04,0.650
1995-08-11,0.603
1995-08-18,0.613
1995-08-25,0.574
1995-09-01,0.604
1995-09-08,0.544
1995-09-15,0.511
1995-09-22,0.536
1995-09-29,0.583
1995-10-06,0.547
1995-10-13,0.529
1995-10-20,0.519
1995-10-27,0.558
1995-11-03,0.468
1995-11-10,0.406
1995-11-17,0.415
1995-11-24,0.383
1995-12-01,0.344
1995-12-08,0.321
1995-12-15,0.322
1995-12-22,0.442
1995-12-29,0.411
1996-01-05,0.359
1996-01-12,0.408
1996-01-19,0.383
1996-01-26,0.348
1996-02-02,0.297
1996-02-09,0.322
1996-02-16,0.330
1996-02-23,0.417
1996-03-01,0.498
1996-03-08,0.530
1996-03-15,0.663
1996-03-22,0.633
1996-03-29,0.636
1996-04-05,0.659
1996-04-12,0.769
1996-04-19,0.742
1996-04-26,0.651
1996-05-03,0.709
1996-05-10,0.717
1996-05-17,0.607
1996-05-24,0.558
1996-05-31,0.614
1996-06-07,0.677
1996-06-14,0.699
1996-06-21,0.680
1996-06-28,0.665
1996-07-05,0.653
1996-07-12,0.702
1996-07-19,0.725
1996-07-26,0.747
1996-08-02,0.748
1996-08-09,0.578
1996-08-16,0.557
1996-08-23,0.556
1996-08-30,0.660
1996-09-06,0.772
1996-09-13,0.661
1996-09-20,0.645
1996-09-27,0.704
1996-10-04,0.708
1996-10-11,0.650
1996-10-18,0.587
1996-10-25,0.601
1996-11-01,0.571
1996-11-08,0.465
1996-11-15,0.428
1996-11-22,0.403
1996-11-29,0.439
1996-12-06,0.520
1996-12-13,0.614
1996-12-20,0.650
1996-12-27,0.564
1997-01-03,0.597
1997-01-10,0.605
1997-01-17,0.560
1997-01-24,0.543
1997-01-31,0.576
1997-02-07,0.532
1997-02-14,0.426
1997-02-21,0.424
1997-02-28,0.451
1997-03-07,0.502
1997-03-14,0.497
1997-03-21,0.539
1997-03-28,0.549
1997-04-04,0.712
1997-04-11,0.661
1997-04-18,0.656
1997-04-25,0.697
1997-05-02,0.650
1997-05-09,0.658
1997-05-16,0.631
1997-05-23,0.586
1997-05-30,0.645
1997-06-06,0.666
1997-06-13,0.605
1997-06-20,0.550
1997-06-27,0.551
1997-07-04,0.501
1997-07-11,0.443
1997-07-18,0.398
1997-07-25,0.384
1997-08-01,0.343
1997-08-08,0.348
1997-08-15,0.421
1997-08-22,0.422
1997-08-29,0.450
1997-09-05,0.515
1997-09-12,0.506
1997-09-19,0.455
1997-09-26,0.469
1997-10-03,0.453
1997-10-10,0.425
1997-10-17,0.471
1997-10-24,0.505
1997-10-31,0.676
1997-11-07,0.587
1997-11-14,0.644
1997-11-21,0.508
1997-11-28,0.474
1997-12-05,0.415
1997-12-12,0.464
1997-12-19,0.473
1997-12-26,0.418
1998-01-02,0.345
1998-01-09,0.395
1998-01-16,0.349
1998-01-23,0.373
1998-01-30,0.341
1998-02-06,0.291
1998-02-13,0.237
1998-02-20,0.219
1998-02-27,0.188
1998-03-06,0.306
1998-03-13,0.281
1998-03-20,0.196
1998-03-27,0.250
1998-04-03,0.314
1998-04-10,0.275
1998-04-17,0.275
1998-04-24,0.293
1998-05-01,0.393
1998-05-08,0.308
1998-05-15,0.275
1998-05-22,0.207
1998-05-29,0.287
1998-06-05,0.303
1998-06-12,0.249
1998-06-19,0.280
1998-06-26,0.294
1998-07-03,0.248
1998-07-10,0.218
1998-07-17,0.193
1998-07-24,0.245
1998-07-31,0.285
1998-08-07,0.347
1998-08-14,0.430
1998-08-21,0.461
1998-08-28,0.665
1998-09-04,0.903
1998-09-11,0.901
1998-09-18,0.943
1998-09-25,0.911
1998-10-02,1.036
1998-10-09,1.440
1998-10-16,1.494
1998-10-23,1.248
1998-10-30,1.055
1998-11-06,0.920
1998-11-13,1.005
1998-11-20,0.801
1998-11-27,0.535
1998-12-04,0.618
1998-12-11,0.663
1998-12-18,0.737
1998-12-25,0.636
1999-01-01,0.637
1999-01-08,0.610
1999-01-15,0.667
1999-01-22,0.651
1999-01-29,0.546
1999-02-05,0.542
1999-02-12,0.560
1999-02-19,0.571
1999-02-26,0.525
1999-03-05,0.629
1999-03-12,0.504
1999-03-19,0.477
1999-03-26,0.519
1999-04-02,0.519
1999-04-09,0.468
1999-04-16,0.498
1999-04-23,0.483
1999-04-30,0.436
1999-05-07,0.459
1999-05-14,0.500
1999-05-21,0.544
1999-05-28,0.612
1999-06-04,0.699
1999-06-11,0.733
1999-06-18,0.709
1999-06-25,0.693
1999-07-02,0.705
1999-07-09,0.709
1999-07-16,0.672
1999-07-23,0.732
1999-07-30,0.803
1999-08-06,0.866
1999-08-13,0.901
1999-08-20,0.853
1999-08-27,0.728
1999-09-03,0.842
1999-09-10,0.899
1999-09-17,0.916
1999-09-24,0.905
1999-10-01,1.005
1999-10-08,1.246
1999-10-15,1.230
1999-10-22,1.179
1999-10-29,1.133
1999-11-05,1.049
1999-11-12,0.912
1999-11-19,0.843
1999-11-26,0.848
1999-12-03,0.907
1999-12-10,0.884
1999-12-17,0.889
1999-12-24,0.878
1999-12-31,0.926
2000-01-07,0.963
2000-01-14,0.940
2000-01-21,0.895
2000-01-28,0.871
2000-02-04,0.889
2000-02-11,0.906
2000-02-18,0.864
2000-02-25,0.870
2000-03-03,0.832
2000-03-10,0.817
2000-03-17,0.852
2000-03-24,0.812
2000-03-31,0.940
2000-04-07,0.959
2000-04-14,1.036
2000-04-21,1.054
2000-04-28,1.113
2000-05-05,1.248
2000-05-12,1.270
2000-05-19,1.283
2000-05-26,1.366
2000-06-02,1.377
2000-06-09,1.213
2000-06-16,1.193
2000-06-23,1.195
2000-06-30,1.209
2000-07-07,1.094
2000-07-14,0.981
2000-07-21,0.945
2000-07-28,0.885
2000-08-04,0.874
2000-08-11,0.778
2000-08-18,0.762
2000-08-25,0.725
2000-09-01,0.715
2000-09-08,0.795
2000-09-15,0.840
2000-09-22,0.881
2000-09-29,0.871
2000-10-06,0.918
2000-10-13,1.039
2000-10-20,1.019
2000-10-27,0.971
2000-11-03,0.953
2000-11-10,0.988
2000-11-17,0.985
2000-11-24,1.006
2000-12-01,1.102
2000-12-08,1.151
2000-12-15,1.122
2000-12-22,1.359
2000-12-29,1.171
2001-01-05,1.177
2001-01-12,1.019
2001-01-19,0.910
2001-01-26,0.876
2001-02-02,0.812
2001-02-09,0.722
2001-02-16,0.737
2001-02-23,0.845
2001-03-02,0.798
2001-03-09,0.750
2001-03-16,0.869
2001-03-23,0.965
2001-03-30,0.979
2001-04-06,1.141
2001-04-13,1.107
2001-04-20,1.033
2001-04-27,0.973
2001-05-04,0.837
2001-05-11,0.753
2001-05-18,0.792
2001-05-25,0.755
2001-06-01,0.712
2001-06-08,0.614
2001-06-15,0.664
2001-06-22,0.642
2001-06-29,0.613
2001-07-06,0.601
2001-07-13,0.632
2001-07-20,0.621
2001-07-27,0.589
2001-08-03,0.505
2001-08-10,0.503
2001-08-17,0.518
2001-08-24,0.518
2001-08-31,0.498
2001-09-07,0.614
2001-09-14,0.951
2001-09-21,1.152
2001-09-28,0.953
2001-10-05,0.895
2001-10-12,0.840
2001-10-19,0.822
2001-10-26,0.714
2001-11-02,0.711
2001-11-09,0.635
2001-11-16,0.655
2001-11-23,0.696
2001-11-30,0.752
2001-12-07,0.723
2001-12-14,0.824
2001-12-21,0.824
2001-12-28,0.706
2002-01-04,0.680
2002-01-11,0.552
2002-01-18,0.520
2002-01-25,0.532
2002-02-01,0.529
2002-02-08,0.555
2002-02-15,0.495
2002-02-22,0.512
2002-03-01,0.485
2002-03-08,0.516
2002-03-15,0.546
2002-03-22,0.531
2002-03-29,0.541
2002-04-05,0.569
2002-04-12,0.532
2002-04-19,0.441
2002-04-26,0.400
2002-05-03,0.356
2002-05-10,0.373
2002-05-17,0.378
2002-05-24,0.386
2002-05-31,0.394
2002-06-07,0.471
2002-06-14,0.462
2002-06-21,0.519
2002-06-28,0.670
2002-07-05,0.659
2002-07-12,0.686
2002-07-19,0.782
2002-07-26,0.917
2002-08-02,0.845
2002-08-09,0.951
2002-08-16,0.852
2002-08-23,0.810
2002-08-30,0.759
2002-09-06,0.812
2002-09-13,0.756
2002-09-20,0.773
2002-09-27,0.844
2002-10-04,0.868
2002-10-11,0.924
2002-10-18,0.945
2002-10-25,0.909
2002-11-01,0.830
2002-11-08,0.756
2002-11-15,0.655
2002-11-22,0.565
2002-11-29,0.554
2002-12-06,0.593
2002-12-13,0.520
2002-12-20,0.502
2002-12-27,0.500
2003-01-03,0.539
2003-01-10,0.437
2003-01-17,0.377
2003-01-24,0.398
2003-01-31,0.459
2003-02-07,0.466
2003-02-14,0.474
2003-02-21,0.398
2003-02-28,0.330
2003-03-07,0.294
2003-03-14,0.324
2003-03-21,0.394
2003-03-28,0.319
2003-04-04,0.265
2003-04-11,0.192
2003-04-18,0.078
2003-04-25,0.005
2003-05-02,-0.069
2003-05-09,-0.133
2003-05-16,-0.140
2003-05-23,-0.090
2003-05-30,-0.111
2003-06-06,-0.107
2003-06-13,-0.166
2003-06-20,-0.177
2003-06-27,-0.161
2003-07-04,-0.105
2003-07-11,-0.140
2003-07-18,-0.125
2003-07-25,-0.069
2003-08-01,0.118
2003-08-08,0.156
2003-08-15,0.147
2003-08-22,0.043
2003-08-29,0.011
2003-09-05,0.007
2003-09-12,-0.064
2003-09-19,-0.159
2003-09-26,-0.145
2003-10-03,-0.137
2003-10-10,-0.141
2003-10-17,-0.169
2003-10-24,-0.212
2003-10-31,-0.259
2003-11-07,-0.232
2003-11-14,-0.245
2003-11-21,-0.256
2003-11-28,-0.314
2003-12-05,-0.256
2003-12-12,-0.292
2003-12-19,-0.323
2003-12-26,-0.289
2004-01-02,-0.297
2004-01-09,-0.376
2004-01-16,-0.468
2004-01-23,-0.488
2004-01-30,-0.412
2004-02-06,-0.402
2004-02-13,-0.516
2004-02-20,-0.571
2004-02-27,-0.601
2004-03-05,-0.634
2004-03-12,-0.616
2004-03-19,-0.581
2004-03-26,-0.562
2004-04-02,-0.571
2004-04-09,-0.503
2004-04-16,-0.468
2004-04-23,-0.451
2004-04-30,-0.398
2004-05-07,-0.337
2004-05-14,-0.292
2004-05-21,-0.312
2004-05-28,-0.394
2004-06-04,-0.375
2004-06-11,-0.463
2004-06-18,-0.394
2004-06-25,-0.413
2004-07-02,-0.408
2004-07-09,-0.432
2004-07-16,-0.462
2004-07-23,-0.468
2004-07-30,-0.443
2004-08-06,-0.416
2004-08-13,-0.461
2004-08-20,-0.472
2004-08-27,-0.503
2004-09-03,-0.540
2004-09-10,-0.581
2004-09-17,-0.609
2004-09-24,-0.615
2004-10-01,-0.594
2004-10-08,-0.541
2004-10-15,-0.563
2004-10-22,-0.622
2004-10-29,-0.611
2004-11-05,-0.643
2004-11-12,-0.699
2004-11-19,-0.716
2004-11-26,-0.761
2004-12-03,-0.678
2004-12-10,-0.758
2004-12-17,-0.732
2004-12-24,-0.738
2004-12-31,-0.727
2005-01-07,-0.685
2005-01-14,-0.718
2005-01-21,-0.714
2005-01-28,-0.705
2005-02-04,-0.762
2005-02-11,-0.802
2005-02-18,-0.810
2005-02-25,-0.806
2005-03-04,-0.750
2005-03-11,-0.738
2005-03-18,-0.658
2005-03-25,-0.600
2005-04-01,-0.560
2005-04-08,-0.587
2005-04-15,-0.571
2005-04-22,-0.581
2005-04-29,-0.572
2005-05-06,-0.530
2005-05-13,-0.487
2005-05-20,-0.471
2005-05-27,-0.587
2005-06-03,-0.613
2005-06-10,-0.604
2005-06-17,-0.581
2005-06-24,-0.614
2005-07-01,-0.631
2005-07-08,-0.572
2005-07-15,-0.614
2005-07-22,-0.660
2005-07-29,-0.701
2005-08-05,-0.652
2005-08-12,-0.637
2005-08-19,-0.637
2005-08-26,-0.647
2005-09-02,-0.607
2005-09-09,-0.624
2005-09-16,-0.572
2005-09-23,-0.524
2005-09-30,-0.483
2005-10-07,-0.437
2005-10-14,-0.413
2005-10-21,-0.467
2005-10-28,-0.455
2005-11-04,-0.446
2005-11-11,-0.453
2005-11-18,-0.453
2005-11-25,-0.458
2005-12-02,-0.433
2005-12-09,-0.425
2005-12-16,-0.374
2005-12-23,-0.430
2005-12-30,-0.431
2006-01-06,-0.526
2006-01-13,-0.605
2006-01-20,-0.602
2006-01-27,-0.585
2006-02-03,-0.578
2006-02-10,-0.571
2006-02-17,-0.605
2006-02-24,-0.674
2006-03-03,-0.656
2006-03-10,-0.544
2006-03-17,-0.560
2006-03-24,-0.575
2006-03-31,-0.506
2006-04-07,-0.486
2006-04-14,-0.428
2006-04-21,-0.462
2006-04-28,-0.475
2006-05-05,-0.472
2006-05-12,-0.488
2006-05-19,-0.403
2006-05-26,-0.340
2006-06-02,-0.341
2006-06-09,-0.324
2006-06-16,-0.249
2006-06-23,-0.209
2006-06-30,-0.234
2006-07-07,-0.275
2006-07-14,-0.272
2006-07-21,-0.271
2006-07-28,-0.340
2006-08-04,-0.376
2006-08-11,-0.422
2006-08-18,-0.479
2006-08-25,-0.505
2006-09-01,-0.492
2006-09-08,-0.442
2006-09-15,-0.446
2006-09-22,-0.446
2006-09-29,-0.428
2006-10-06,-0.450
2006-10-13,-0.499
2006-10-20,-0.546
2006-10-27,-0.578
2006-11-03,-0.576
2006-11-10,-0.598
2006-11-17,-0.596
2006-11-24,-0.599
2006-12-01,-0.569
2006-12-08,-0.557
2006-12-15,-0.559
2006-12-22,-0.566
2006-12-29,-0.560
2007-01-05,-0.560
2007-01-12,-0.611
2007-01-19,-0.645
2007-01-26,-0.661
2007-02-02,-0.651
2007-02-09,-0.693
2007-02-16,-0.703
2007-02-23,-0.747
2007-03-02,-0.607
2007-03-09,-0.591
2007-03-16,-0.551
2007-03-23,-0.603
2007-03-30,-0.576
2007-04-06,-0.572
2007-04-13,-0.588
2007-04-20,-0.604
2007-04-27,-0.606
2007-05-04,-0.556
2007-05-11,-0.571
2007-05-18,-0.519
2007-05-25,-0.532
2007-06-01,-0.474
2007-06-08,-0.381
2007-06-15,-0.204
2007-06-22,-0.256
2007-06-29,-0.234
2007-07-06,-0.327
2007-07-13,-0.301
2007-07-20,-0.327
2007-07-27,-0.153
2007-08-03,0.015
2007-08-10,0.194
2007-08-17,0.715
2007-08-24,0.957
2007-08-31,0.753
2007-09-07,0.844
2007-09-14,1.019
2007-09-21,0.684
2007-09-28,0.568
2007-10-05,0.480
2007-10-12,0.311
2007-10-19,0.359
2007-10-26,0.364
2007-11-02,0.290
2007-11-09,0.594
2007-11-16,0.729
2007-11-23,0.944
2007-11-30,1.215
2007-12-07,1.289
2007-12-14,1.342
2007-12-21,1.222
2007-12-28,0.989
2008-01-04,0.850
2008-01-11,0.776
2008-01-18,0.566
2008-01-25,0.892
2008-02-01,0.698
2008-02-08,0.710
2008-02-15,0.675
2008-02-22,0.760
2008-02-29,0.852
2008-03-07,1.207
2008-03-14,1.254
